"trackingcode","trackingcode","event31","event95","event29","event30","event94","event38","event33","event32"
"em_5357895",NA,3,1,1,28,1,1,0,0
"em_5358996",NA,3,1,1,11,1,1,0,0
"em_5363120",NA,3,1,1,3,1,1,0,0
"em_5358633",NA,3,1,1,3,1,1,0,0
"em_5358586",NA,3,1,1,2,1,1,0,0
"em_4897026",NA,3,1,0,185,63,0,0,1
"em_4937980",NA,3,1,0,70,14,0,0,0
"em_5275500",NA,3,1,0,48,1,0,0,0
"em_4916433",NA,3,1,0,37,9,0,0,0
"em_5015709",NA,3,1,0,36,14,0,0,0
"em_5011932",NA,3,1,0,33,3,0,0,0
"em_5255963",NA,3,1,0,32,5,0,0,0
"em_4908208",NA,3,1,0,29,0,0,0,0
"em_5207463",NA,3,1,0,26,4,0,0,0
"em_5028824",NA,3,1,0,24,0,0,0,0
"em_5107074",NA,3,1,0,10,1,0,0,0
"em_5028831",NA,3,1,0,8,0,0,0,0
"em_5194070",NA,3,1,0,2,0,0,0,0
"em_4829785",NA,3,0,0,46,12,0,0,0
"em_5262281",NA,3,0,0,46,7,0,0,0
"em_4904838",NA,3,0,0,27,1,0,0,0
"em_5275571",NA,3,0,0,19,0,0,0,1
"em_5177761",NA,3,0,0,18,2,0,0,0
"em_5194074",NA,3,0,0,13,0,0,0,0
"em_5214219",NA,3,0,0,10,0,0,0,0
"em_5327989",NA,3,0,0,2,0,0,0,0
"em_5355320",NA,2,2,41,31,6,46,5,0
"em_5355317",NA,2,2,41,24,5,46,5,0
"em_5355316",NA,2,2,41,19,3,46,5,0
"em_5032186",NA,2,2,0,186,82,0,0,1
"em_5063092",NA,2,2,0,164,89,0,0,3
"em_4956649",NA,2,2,0,148,71,0,0,8
"em_5080255",NA,2,2,0,148,42,0,0,2
"em_5293244",NA,2,2,0,106,44,0,0,1
"em_5060003",NA,2,2,0,103,45,0,0,1
"em_5295905",NA,2,2,0,98,21,0,0,1
"em_5314161",NA,2,2,0,42,13,0,0,0
"em_5050046",NA,2,2,0,31,4,0,0,0
"em_5228047",NA,2,2,0,27,3,0,0,0
"em_5228217",NA,2,2,0,23,8,0,0,2
"em_5005478",NA,2,2,0,18,1,0,0,0
"em_5130629",NA,2,2,0,17,2,0,0,0
"em_5282109",NA,2,2,0,13,0,0,0,0
"em_5310487",NA,2,2,0,11,0,0,0,0
"em_5355269",NA,2,1,1,31,1,1,0,0
"em_5358600",NA,2,1,1,7,1,1,0,0
"em_5359064",NA,2,1,1,5,1,1,0,0
"em_5370385",NA,2,1,1,4,1,1,0,0
"em_5370105",NA,2,1,1,3,1,1,0,0
"em_4894042",NA,2,1,0,197,73,0,0,6
"em_4918400",NA,2,1,0,142,64,0,0,0
"em_5080254",NA,2,1,0,138,55,0,0,0
"em_4863234",NA,2,1,0,73,23,0,0,1
"em_5130596",NA,2,1,0,73,1,0,0,0
"em_4919480",NA,2,1,0,69,3,0,0,0
"em_4964202",NA,2,1,0,66,26,0,0,0
"em_5110445",NA,2,1,0,35,3,0,0,0
"em_4913095",NA,2,1,0,27,10,0,0,0
"em_5099790",NA,2,1,0,27,2,0,0,0
"em_5255855",NA,2,1,0,26,2,0,0,0
"em_4945111",NA,2,1,0,25,11,0,0,0
